task	studentID	mean	std	min	perc25	perc50	perc75	max
story1	SMVCS	43.899	58.66	-0.112	0.068	0.182	103.334	161.992
story1	XSWMB	20.237	28.564	-0.076	0.038	0.091	45.215	83.38
story1	YVBRP	36.218	46.403	-0.656	0.061	0.141	82.518	126.765
story1	Z2BYD	25.231	34.363	-0.388	0.041	0.106	55.21	100.003
story1	ZDPNZ	35.013	43.148	-0.142	0.043	0.179	72.835	123.931
story2	QPPY5	28.471	38.919	-0.16	0.056	0.152	51.59	117.4
story2	VJCMQ	50.031	62.728	-0.065	0.232	11.209	96.134	181.546
story2	YWPWY	32.93	40.279	-0.319	0.062	4.364	63.544	118.939
story2	Z2BYD	21.982	30.128	-0.103	0.049	0.139	43.823	88.432
story2	ZMQG2	29.417	35.77	-0.806	0.055	3.502	62.008	101.162
story2	ZQV5W	37.315	43.048	-0.468	0.055	12.13	77.905	115.969
story3	QTB2S	27.61	34.599	-0.119	0.07	0.185	60.642	95.3
story3	WHHXX	62.315	67.882	-2.012	0.112	24.532	121.258	178.102
story3	YVBRP	39.445	48.268	-0.164	0.062	7.912	80.41	133.88
story3	YWPWY	44.233	52.837	-117.599	0.09	12.965	93.517	141.775
story3	ZNNGY	45.664	53.686	-0.933	0.13	1.01	90.647	147.61
story3	ZPGND	38.536	44.677	-0.311	0.035	5.307	80.211	124.262
